GESTOR,DEPARTAMENTO,MUNICIPIO,# ZONAS WIFI,NOMBRE DEL SITIO,DIRECCIÓN ,UBICACIÓN,Nueva columna georreferenciada_1
Gobernación,Valle del Cauca,La Unión,1,Parque San Pedro,Calle 22 y 23,"(4.539053,-76.10237)","(4.539053, -76.10237)"
Gobernación,Valle del Cauca,La victoria,1,Parque principal los fundadores casco,Calle 8 y 9 con cra 6 y 7,"(4.523306,-76.035861)","(4.523306, -76.035861)"
Gobernación,Valle del Cauca,La victoria,1,Parque lanceros (caso urbano),Calle 6 b con Cra 6 y 5,"(4.524105,-76.036071)","(4.524105, -76.036071)"
Gobernación,Valle del Cauca,Obando,1,ciudadela Obando,Cra 2 con calle 9,"(4.578914,-75.971097)","4 578914
Gobernación,Valle del Cauca,Obando,1,Villa Europa,Calle 5 con carrera 5D,"(4.577413,-75.975211)","(4.577413, -75.975211)"
Gobernación,Valle del Cauca,Palmira,1,Parque del corregimiento de rozo,Avenida 9 con calle 10,"( 3.614866,-76.386513)","(3.614866, -76.386513)"
Gobernación,Valle del Cauca,Palmira,1,Parque santa teresita,Transv. 39 con calle 48 esquina,"(3.543333,-76.310556)","(3.543333, -76.310556)"
Gobernación,Valle del Cauca,Palmira,1,Parque del Amor,Calle 32 con carrera 18 esquina,"(3.528056,-76.2902777)","(3.528056, -76.2902777)"
Gobernación,Valle del Cauca,Palmira,1,Parque Llano grande,Calle 31/carrera 44,"(3.528056,-76.315556)","(3.528056, -76.315556)"
Gobernación,Valle del Cauca,Palmira,1,Parque villa diana,Calle 63/Cra 41,"(3.547581,-76.310009)","(3.547581, -76.310009)"
Gobernación,Valle del Cauca,Pradera,1,Cic  Villa marina,Calle 8 con carrera 20,"(3.425833,-76.248611)","(3.425833, -76.248611)"
Gobernación,Valle del Cauca,Pradera,1,Cachas Galería,Calle 8 con carrera 13 esq.,"(3.420277,-76.244722)","(3.420277, -76.244722)"
Gobernación,Valle del Cauca,Restrepo,1,Parque media torta,Calle 11 y 13 con carrera 14 y 16,"(3.822500,-76.525278)","(3.8225, -76.525278)"
Gobernación,Valle del Cauca,Restrepo,1,Zona Uniciencia Barrio Galán,Cra 16B con calle 5,"(3.818333,-76.526389)","(3.818333, -76.526389)"
Gobernación,Valle del Cauca,Riofrío,1,Parque principal cabecera Municipal,Calle 4 con carrera 9,"(4.155556,-76.288056)","(4.155556, -76.288056)"
Gobernación,Valle del Cauca,Riofrío,1,Parque Temático,Cra 10 N 10-01,"(4.154722,-76.287778)","(4.154722, -76.287778)"
Gobernación,Valle del Cauca,Roldanillo,1,Barrio Humberto Gonzalez Narváez ( Iglesia),Carrera 10 con carrera 11,"(4.408609,-76.159912)","(4.408609, -76.159912)"
Gobernación,Valle del Cauca,Roldanillo,1,Parque la Ermita,Calle 4 con carrera 8,"(4.412111,-76.156798)","(4.412111, -76.156798)"
Gobernación,Valle del Cauca,Roldanillo,1,Parque san Sebastián (ELIAS GUERRERO),Carrera 7 con carrera 8,"(4.411058,-76.154426)","(4.411058, -76.154426)"
Gobernación,Valle del Cauca,San Pedro,1,Parque recreacional San Pedro,Carrera 6 / Calle 7,"(3.998611,-76.228889)","(3.998611, -76.228889)"
Gobernación,Valle del Cauca,San Pedro,1,"Plaza principal, Presidente"corregimiento presidente,"(3.998889,-76.229167)","(3.998889, -76.229167)"
Gobernación,Valle del Cauca,Sevilla,1,Parque de la Concordia,Calle 52 No 49-52,"(4.264504,-75.934438)","(4.264504, -75.934438)"
Gobernación,Valle del Cauca,Sevilla,1,Vereda San Antonio,Vereda San Antonio,"(4.216028,-76.939722)","(4.216028, -76.939722)"
Gobernación,Valle del Cauca,Sevilla,1,Sector rural Coloradas,Sector rural Vereda las Coloradas,"(4.205000,-75.9572222222222)","(4.205, -75.9572222222222)"
Gobernación,Valle del Cauca,Toro,1,Barrio El Lazano,Calle 11  sector centro,"(4.618762,-76.077265)","(4.618762, -76.077265)"
Gobernación,Valle del Cauca,Toro,1,Barrio El Chanco,Calle 12 No. 2 sur-290,"(4.603681,-76.078983)","(4.603681, -76.078983)"
Gobernación,Valle del Cauca,Trujillo,1,Corregimiento Andinapolis,Corregimiento Andinanapolis Parque ppal.,"(4.167439,-76.387022)","(4.167439, -76.387022)"
Gobernación,Valle del Cauca,Trujillo,1,Corregimiento de Venecia,Corregimiento de Venecia,"( 4.193889,-76.390833)","(4.193889, -76.390833)"
Gobernación,Valle del Cauca,Tuluá,1,Coliseo de Ferias Manuel Victoria Rojas,Calle 13 con cra 30,"(4.193889,-76.187206)","(4.193889, -76.187206)"
Gobernación,Valle del Cauca,Tuluá,1,Plaza Cívica Boyacá,Calle 25 y 26 con carrera 25 y 26,"(4.085556,-76.1975)","(4.085556, -76.1975)"
Gobernación,Valle del Cauca,Tuluá,1,Polideportivo Barrio Alameda,Tv 12/Cra 24 con calle 25/26,"(4.100556,-76.198611)","(4.100556, -76.198611)"
Gobernación,Valle del Cauca,Tuluá,1,Lago Chilicote,Calle 34 con carrera 21,"(4.077778,-76.202222)","(4.077778, -76.202222)"
Gobernación,Valle del Cauca,Ulloa,1,Parque principal,Cra 3 y 4 con calle 7,"(4.703527,-75.737886)","(4.703527, -75.737886)"
Gobernación,Valle del Cauca,Ulloa,1,Casa de la cultura,Calle 4 y 5 con cra. 2 y 3,"(4.703878,-75.738156)","(4.703878, -75.738156)"
Gobernación,Valle del Cauca,Versalles,1,Parque principal,Calle 9 entre carrera 6 y 7,"(4.575014,-76.199833)","(4.575014, -76.199833)"
Gobernación,Valle del Cauca,Versalles,1,Casa de la cultura,Calle 8 con carrera 2 esquina,"(4.575894,-76.197144)","(4.575894, -76.197144)"
Gobernación,Valle del Cauca,Vijes,1,Parque principal,Cra 4 y 5 entre calle 5 y 6,"(3.700556,-76.4425)","(3.700556, -76.4425)"
Gobernación,Valle del Cauca,Vijes,1,Parque Villa Esperanza,Calle 8 con calle 7,"(3.700556,-76.441906)","(3.700556, -76.441906)"
Gobernación,Valle del Cauca,Yotoco,1,Parque Principal,Carrera 5 con calle 4 frente Alcaldía,"(3.861504,-76.385086)","(3.861504, -76.385086)"
Gobernación,Valle del Cauca,Yotoco,1,Instituto Municipal de Deportes,Cra 7 No. 5-37,"(3.877222,-76.3825)","(3.877222, -76.3825)"
Gobernación,Valle del Cauca,Yumbo,1,Parque Barrio Guadalupe,Calle 16 No. 16n 30,"(3.877222,-76.4832)","(3.877222, -76.4832)"
Gobernación,Valle del Cauca,Yumbo,1,IMDERTY,Calle 16 Kra 4,"(3.582220,-76.48361111)","(3.58222, -76.48361111)"
Gobernación,Valle del Cauca,Yumbo,1,Polideportivo Tomás Bernardo Chávez,Carrera 3 Norte Con Calle 16 Barrio Guacandá,"(3.578056,-76.487778)","(3.578056, -76.487778)"
Gobernación,Valle del Cauca,Yumbo,1,Parque de la Estancia,Calle 19 con carrera 20,"(3.570556,-76.4805555)","(3.570556, -76.4805555)"
Gobernación,Valle del Cauca,Zarzal,1,Parque Santander,Calle 10 calle 11 con Cra 9 y 10,"(4.395167,-76.070783)","(4.395167, -76.070783)"
Gobernación,Valle del Cauca,Zarzal,1,Parque Barrio Bolívar,Calle 14 y 15 con Cra 8 y 9,"(4.397295,-76.068266)","(4.397295, -76.068266)"
MinTic,Valle del Cauca,Bolívar,1,Parque principal,Parque principal ricaute,"(4.308258,-76.207756)","(4.308258, -76.207756)"
MinTic,Valle del Cauca,Bolívar,1,Parque Principal corregimiento La Primavera,Calle 9 y Carrera 5,"(4.337222,-76.1847222222222)","(4.337222, -76.1847222222222)"
